identifier,header,set,subheader,img,body,category,boundary-set
battles,New Permanent Type: Battles,mom,"Battles are played on your opponent's board, and you have to attack them to flip them for big payoffs",battles.png,"Battles are a two-sided permenent which, when cast, are placed on an opponent's board face-up with a number of defense counters indicated on the card's bottom left./nThe controller of a Battle may attack it as they would a player, and the opponent defending it may assign blockers for it as they would themselves. When a Battle takes damage, you remove that many defense counters from it./nOnce a Battle has no defense counters on it, its controller exiles it and may immediately cast the back without paying its mana cost.",type,
walkers,New Permanent Type: Planeswalkers,lrw,"Planeswalkers represent other spellcasters in the world of Magic, and have their own resources to manage and effects on the game board",planeswalkers.png,"Planeswalkers represent calling Magic's most powerful spellcasters to your side for help, and have their own abilities they may use./nPlaneswalkers enter the battlefield with a number of loyalty counters on them equal to the starting loyalty in the bottom right of the card./nOnce each turn, you may use one of a Planeswalker's abilities at sorcery speed by adding or removing the indicated number of loyalty counters from the card./nAttacking creatures may attack a Planeswalker as they would a player, and the Planeswalker's controller may assign blockers to defend it as they would themselves. When a Planeswalker takes damage, remove that many loyalty counters from the Planeswalker./nA Planeswalker dies when it has no loyalty counters on it.",type,
saga,New Enchantment Subtype: Sagas,dom,"Sagas represent great stories in the world of Magic, and have a different effect which occurs at the start of every turn they're in play",sagas.png,"A Saga is a special subtype of Enchantment, always associated with a great story or fable in the universe of Magic. When a Saga enters the battlefield, and immediately after your draw step, you place one lore counter on each Saga you control. When you put a lore counter on a Saga, you trigger the chapter ability associated with that number of lore counters. Sagas are immediately sacrificed when the final chapter ability resolves.",type,
equipment,New Artifact Subtype: Equipment,mrd,Equipment are special artifacts which may be equipped to creatures to augment their abilities,equipment.png,"Equipment are a special subtype of Artifact that are designed to be wielded by creatures, such as weapons, armor, or tools. By default, Equipment enters the battlefield unequipped to any creature. At sorcery speed, an Equipment's controller may pay its Equip cost (usually indicated on the bottom of the card's text box) to Equip that artifact to a creature that they control. Once equipped, that creature is considered the ""equipped creature"" for the purpose of any of the Equipment's rules text.",type,
auras,New Enchantment Subtype: Aura,9ed,Auras now specify Enchantments which are attached to a permanent or player,auras.png,"Formerly typed as ""Enchant {X}"" (such as ""Enchant creature""), Auras are the universal subtype for Enchantments which specifically target and are attached to permanents in play or to players. Rather than have the target in the type, all Auras have a bit of rules text of the format ""Enchant {x}"" which specify what they can enchant as they enter the battlefield.",type,
vehicles,New Artifact Subtype: Vehicles,kld,Vehicles are inanimate artifacts which have the ability to become creatures if other creatures you control crew them,vehicles.png,"Vehicles are a special subtype of Artifact which represent pilotable constructs which require one or more driver to operate, such as cars, carriages, airships, or even mechs. Vehicles by default do have a power and toughness, but they are not creatures, so they cannot attack or block as creatures can by default./n Most vehicles have Crew, an activated ability, the cost of which is tapping any number of creatures you control whose total sum of power is greater than or equal to the Crew cost of the vehicle. As the Crew ability resolves, the Vehicle gains the Creature type on top of existing types and subtypes until end of turn, and may behave as any other Creature would. This means a Crewed Vehicle may attack or block, but it is also affected by Summoning Sickness.",type,
legend1,New Supertype: Legendary,leg,"Legendary permanents represent powerful, one-of-a-kind characters, items, and locations in Magic's lore",legendrule1.png,"Legendary is a supertype of card, meaning that a Legendary card can be any other card type on top of being Legendary (e.g ""Legendary Creature or Legendary Artifact""). /nLegendary permanents are affected by the ""Legend rule"", which states that a player may control no more than 1 Legendary permanent with the same name at any given time. If a player ever controls more than one Legendary permanent of the same name, they must immediately sacrifice all but one of them. /nThe Legend rule does not count permanents owned by other players.",type,
legend2,Legend Rule Changes To Be Per-Player,m14,The Legend rule now only checks permanents controlled by the same player,legendrule2.png,"With Magic 2014, the Legend rule changed to only consider the permanents controlled by the same player. That is, you and all of your opponents can all control 1 of the same Legendary permanent at the same time with no consequences. It is only if one of you attempts to play a second of that permanent with the same name that the Legend rule comes into effect, and it only affects the side of the board that would have multiple of the same legendary permanent.",rules,chk
legend3,Multiple Players Can Now Play The Same Legend,chk,You can play Legendary permanents that share names with permanents your opponents control with no consequence,legendrule2.png,"The current state of the Legend rule, after changes in Champions of Kamigawa and Magic 2014, is that each player may now control exactly one Legendary permanent of a given name at the same time. That is, if your opponent controls a Legendary Creature, and you could cast the same Legendary Creature, you may, and both of you will have the same Legendary Creature on board at the same time.",rules,leg
legend4,Planeswalkers Are Now Legendary,xln,"Planeswalkers are Legendary and subject to the regular Legend rule, no longer concerned with planeswalker type",legendrule4.png,"All Planeswalkers past and future are now considered to have the Legendary supertype, and the old planeswalker uniqueness rule, which stated that you could only have one Planeswalker of a given subtype at a given time, has been replaced by the regular ol' Legend rule. You can have as many Jaces as you want, as long as they all have a different name.",rules,lrw
thestack,Gameplay Now Occurs On The Stack,6ed,Most player actions now occur in a first-in last-out order called The Stack,thestack.png,"With Sixth Edition, most player actions are now resolved in first-cast, last-resolved order, in what is commonly referred to as ""The Stack"". When a player casts a spell, activates an ability, or an ability is triggered, that action goes on the Stack. The player who controls that spell or ability may hold priority, casting or activating any other instant-speed spells or abilities they want, until they pass priority clockwise to an opponent. /nThe opponent with priority may then cast instant-speed spells or activate instant-speed abilities of their own, at which point they go onto the stack on top of all previously cast spells and activated abilities. Priority is then passed clockwise again. /nThis continues until priority returns to the player who controls the spell or ability currently on top of the stack (that is, until no one has any response to the current top of the stack), at which point the spell or ability on top of the stack immediately resolves. When a spell or ability on the stack resolves, if there are still more spells or abilities on the stack, players have another chance to respond to the current top of the stack as before, until the new top of the stack resolves. This continues until the stack is empty, at which point priority is returned to the player whose turn it is, and the game continues. /nSome game effects do not use the stack. Any ability (not spell) which generates mana (including tapping a land for mana), discarding down to hand size at the end of the turn, the Legend rule, and combat damage do not use the stack, among other, more niche game actions.",rules,
summon,"""Summon {X}"" Is Now ""Creature - {X}""",6ed,"The ""Summon"" card type has been replaced with ""Creature""",summon.png,"For increased clarity, the ""Summon"" card type has been permanently replaced with the card type of ""Creature"", with the word or words following the word ""Summon"" becoming the creature's subtype (so, ""Summon Zombie"" has become ""Creature - Zombie"")",type,
manasource,No More Mana Souce,6ed,Mana Source is no longer a card type,manasource.png,"The card type ""Mana Source"" has been removed from the game. All cards with the Mana Source card type are now Instants, and all abilities that ""could be played as a mana source"" are now mana abilities (that is, activated or triggered abilities that do not use the stack)",rules,
interrupts,No More Interrupts,6ed,Interrupt is no longer a card type,interrupts.png,"The card type ""Interrupt"" has been removed from the game. All cards with the Interrupt card type are now Instants, and now any ability which could be played as an Interrupt can now be played at Instant-speed. Both of these now go on the stack like any other Instant.",rules,
artifacttap,Always-On Artifacts,6ed,"Artifacts no longer ""turn off"" when tapped",tapartifacts.png,"Unless stated otherwise, the continuous abilities of artifacts remain active even if the artifact is tapped. For certain artifacts that were printed before this rules change whose effect was written with ""turning off"" in mind, the rules text has been errata'd to include a ""while this artifact is untapped"" clause.",rules,
zerolife,Zero Life Is An Instant Loss,6ed,"You lose the moment you hit 0 life, not at end of phase",zerohealth.png,"It used to be that you would lose the game at the end of the current phase if you had 0 life. Now, you lose the moment you hit 0 or less life (even if you have lifegain effects on the stack!)",rules,
triggered,Triggered Abilities,6ed,"Effects that begin ""when"", ""whenever"", or ""at"" are instantly put on the stack when their condition is met",triggered.png,"Any card ability beginning with the words ""when"", ""whenever"", or ""at"" are now considered ""triggered abilities"". Whenever the condition for activation given at the start of the triggered ability is met (e.g ""At the beginning of your upkeep"" or ""Whenever an opponent loses one or more life"") the ability is immediately triggered and put on the stack for resolution (on top of anything already there, if applicable)",rules,
combatstack,Combat Damage No Longer Uses The Stack,m10,Combat damage happens immediately at the start of the damage step and cannot be responded to,combatstack.png,"Prior to Magic 2010, combat damage went on the stack during the damage phase of combat, meaning it could be responded to with instant-speed effects. This is no longer the case: when the damage phase of combat happens, all damage is immediately done all at once, meaning damage is marked, creatures are killed, life totals are decreased (and increased, if damage was done by a source with lifelink), all before any player has a chance to act again.",rules,6ed
combatdamage,Damage Assignment Order No Longer Exists,fdn,Damage is now assigned as it happens,,"Previously, whenever an attacking creature was blocked by multiple creatures, the attacking player would decide the order in which blockers were damaged, with a blocker needing to be dealt lethal damage before the next blocker ""in line"" could start having damage assigned to it./.Now, as the attacker, you don't have to decide how to distribute my damage until the instant before it happens, without any possible chance for opponents to respond. Damage can be assigned in any permutation to any and all of the blockers, without necessarily assigning lethal damage to any of them.",rules,
